Retailer,Retailer ID,Invoice Date,Year,Month,Day,Region,State,City,Sales Method,Gender,Product,Price per Unit,Units Sold,Total Sales,Operating Margin,Operating Profit
Foot Locker,1185732,2020-01-01,2020,1,1,Northeast,New York,New York,In-store,Men, Street Footwear,50.0,1200,600000,50,300000
Foot Locker,1185732,2020-01-02,2020,1,2,Northeast,New York,New York,In-store,Men, Athletic Footwear,50.0,1000,500000,30,150000
Foot Locker,1185732,2020-01-03,2020,1,3,Northeast,New York,New York,In-store,Women, Street Footwear,40.0,1000,400000,35,140000
Foot Locker,1185732,2020-01-04,2020,1,4,Northeast,New York,New York,In-store,Women, Athletic Footwear,45.0,850,382500,35,133875
Foot Locker,1185732,2020-01-05,2020,1,5,Northeast,New York,New York,In-store,Men, Apparel,60.0,900,540000,30,162000
Foot Locker,1185732,2020-01-06,2020,1,6,Northeast,New York,New York,In-store,Women, Apparel,50.0,1000,500000,25,125000
Foot Locker,1185732,2020-01-07,2020,1,7,Northeast,New York,New York,In-store,Men, Street Footwear,50.0,1250,625000,50,312500
Foot Locker,1185732,2020-01-08,2020,1,8,Northeast,New York,New York,Outlet,Men, Athletic Footwear,50.0,900,450000,30,135000
Foot Locker,1185732,2020-01-21,2020,1,21,Northeast,New York,New York,Outlet,Women, Street Footwear,40.0,950,380000,35,133000
Foot Locker,1185732,2020-01-22,2020,1,22,Northeast,New York,New York,Outlet,Women, Athletic Footwear,45.0,825,371250,35,129938
Foot Locker,1185732,2020-01-23,2020,1,23,Northeast,New York,New York,Outlet,Men, Apparel,60.0,900,540000,30,162000
Foot Locker,1185732,2020-01-24,2020,1,24,Northeast,New York,New York,Outlet,Women, Apparel,50.0,1000,500000,25,125000
Foot Locker,1185732,2020-01-25,2020,1,25,Northeast,New York,New York,Outlet,Men, Street Footwear,50.0,1220,610000,50,305000
Foot Locker,1185732,2020-01-26,2020,1,26,Northeast,New York,New York,Outlet,Men, Athletic Footwear,50.0,925,462500,30,138750
Foot Locker,1185732,2020-01-27,2020,1,27,Northeast,New York,New York,Outlet,Women, Street Footwear,40.0,950,380000,35,133000
Foot Locker,1185732,2020-01-28,2020,1,28,Northeast,New York,New York,Outlet,Women, Athletic Footwear,45.0,800,360000,35,126000
Foot Locker,1185732,2020-01-29,2020,1,29,Northeast,New York,New York,Outlet,Men, Apparel,60.0,850,510000,30,153000
Foot Locker,1185732,2020-01-30,2020,1,30,Northeast,New York,New York,Outlet,Women, Apparel,50.0,950,475000,25,118750
Foot Locker,1185732,2020-01-31,2020,1,31,Northeast,New York,New York,Outlet,Men, Street Footwear,50.0,1200,600000,50,300000
Foot Locker,1185732,2020-02-01,2020,2,1,Northeast,New York,New York,Outlet,Men, Athletic Footwear,50.0,900,450000,30,135000
Foot Locker,1185732,2020-02-02,2020,2,2,Northeast,New York,New York,Outlet,Women, Street Footwear,40.0,900,360000,35,126000
Foot Locker,1185732,2020-02-03,2020,2,3,Northeast,New York,New York,Outlet,Women, Athletic Footwear,45.0,825,371250,35,129938
Foot Locker,1185732,2020-02-04,2020,2,4,Northeast,New York,New York,Outlet,Men, Apparel,60.0,825,495000,30,148500
Foot Locker,1185732,2020-02-05,2020,2,5,Northeast,New York,New York,Outlet,Women, Apparel,50.0,950,475000,25,118750
Foot Locker,1185732,2020-02-06,2020,2,6,Northeast,New York,New York,Outlet,Men, Street Footwear,60.0,1220,732000,50,366000
