state_name,city,state_id,lat,lng
Alabama,Abanda,AL,33.0926,-85.5253
Alabama,Abbeville,AL,31.5664,-85.2528
Alabama,Adamsville,AL,33.6073,-86.974
Alabama,Addison,AL,34.2017,-87.1765
Alabama,Akron,AL,32.8785,-87.7429
Alabama,Alabaster,AL,33.2198,-86.8225
Alabama,Albertville,AL,34.2633,-86.2108
Alabama,Alexander City,AL,32.9229,-85.9358
Alabama,Alexandria,AL,33.7675,-85.8792
Alabama,Aliceville,AL,33.1237,-88.1593
Alabama,Allgood,AL,33.9064,-86.5178
Alabama,Altoona,AL,34.0308,-86.3179
Alabama,Andalusia,AL,31.3102,-86.4781
Alabama,Anderson,AL,34.9147,-87.2716
Alabama,Anniston,AL,33.6712,-85.8135
Alabama,Arab,AL,34.3309,-86.4991
Alabama,Ardmore,AL,34.9847,-86.8373
Alabama,Argo,AL,33.6963,-86.5063
Alabama,Ariton,AL,31.5978,-85.7131
Alabama,Arley,AL,34.0885,-87.2075
Alabama,Ashford,AL,31.1858,-85.2359
Alabama,Ashland,AL,33.2703,-85.8337
Alabama,Ashville,AL,33.8331,-86.2698
Alabama,Athens,AL,34.7843,-86.9503
Alabama,Atmore,AL,31.0927,-87.4762
Alabama,Attalla,AL,34.005,-86.1039
Alabama,Auburn,AL,32.6087,-85.4903
Alabama,Autaugaville,AL,32.432,-86.6578
Alabama,Avon,AL,31.1797,-85.279
Alabama,Axis,AL,30.9309,-88.018
Alabama,Babbie,AL,31.3022,-86.3229
Alabama,Baileyton,AL,34.2609,-86.6083
Alabama,Bakerhill,AL,31.7769,-85.2955
Alabama,Ballplay,AL,34.0179,-85.7852
Alabama,Banks,AL,31.8132,-85.8364
Alabama,Bay Minette,AL,30.893,-87.7912
Alabama,Bayou La Batre,AL,30.4126,-88.2611
Alabama,Bear Creek,AL,34.2651,-87.7164
Alabama,Beatrice,AL,31.7332,-87.209
Alabama,Beaverton,AL,33.9354,-88.0218
Alabama,Belgreen,AL,34.4767,-87.8653
Alabama,Belk,AL,33.6517,-87.9286
Alabama,Bellamy,AL,32.4582,-88.1277
Alabama,Belle Fontaine,AL,30.492,-88.1131
Alabama,Benton,AL,32.3078,-86.818
Alabama,Berlin,AL,34.1862,-86.7473
Alabama,Berry,AL,33.6623,-87.6079
Alabama,Bessemer,AL,33.3712,-86.9728
Alabama,Billingsley,AL,32.661,-86.7087
Alabama,Birmingham,AL,33.5279,-86.7971
Alabama,Black,AL,31.0099,-85.744
Alabama,Blountsville,AL,34.0814,-86.5867
Alabama,Blue Ridge,AL,32.501,-86.1839
Alabama,Blue Springs,AL,31.6635,-85.5035
Alabama,Boaz,AL,34.1985,-86.1529
Alabama,Boligee,AL,32.7699,-88.0264
Alabama,Bon Air,AL,33.2621,-86.3319
Alabama,Bon Secour,AL,30.3222,-87.7271
Alabama,Boykin,AL,32.0696,-87.2915
Alabama,Brantley,AL,31.5823,-86.2569
Alabama,Brantleyville,AL,33.2196,-86.882
Alabama,Brent,AL,32.9421,-87.1753
Alabama,Brewton,AL,31.1113,-87.0737
Alabama,Bridgeport,AL,34.9496,-85.7243
Alabama,Brighton,AL,33.4396,-86.9454
Alabama,Brilliant,AL,34.0256,-87.7691
Alabama,Bristow Cove,AL,34.1092,-86.241
Alabama,Brook Highland,AL,33.4359,-86.6849
Alabama,Brookside,AL,33.6372,-86.9002
Alabama,Brookwood,AL,33.2398,-87.3277
Alabama,Broomtown,AL,34.3657,-85.5322
Alabama,Brundidge,AL,31.7182,-85.8178
Alabama,Bucks,AL,31.0169,-88.0249
Alabama,Butler,AL,32.0965,-88.2108
Alabama,Calera,AL,33.1254,-86.7449
Alabama,Calvert,AL,31.154,-88.0169
